City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hofn,92,IS,1547356857,100,64.25,-15.21,35.75,24.94
Rikitea,80,PF,1547356850,99,-23.12,-134.97,79.49,15.21
Manzhouli,44,CN,1547357487,55,49.6,117.43,8.03,4.59
Beira,0,ES,1547355600,75,43.2,-8.36,46.4,1.12
Songjianghe,32,CN,1547357487,81,42.18,127.48,25.4,3.58
Manokwari,44,ID,1547356904,100,-0.87,134.08,80.03,3.51
Cape Town,40,ZA,1547355600,88,-33.93,18.42,64.4,10.29
Koslan,80,RU,1547356875,74,63.46,48.9,16.22,7.54
Vardo,90,US,1547355600,84,39.62,-77.74,30.2,3.36
Fort Wellington,76,GY,1547357488,100,6.4,-57.6,77.42,12.64
Avera,90,US,1547356500,88,33.19,-82.53,53.6,4.7
Ushuaia,75,AR,1547352000,70,-54.81,-68.31,44.6,29.97
Pevek,0,RU,1547356667,72,69.7,170.27,-23.92,6.15
Bredasdorp,44,ZA,1547355600,52,-34.53,20.04,69.8,6.93
Yulara,0,AU,1547355600,8,-25.24,130.99,109.4,14.99
Mahebourg,40,MU,1547355600,66,-20.41,57.7,84.2,11.41
Hermanus,12,ZA,1547356858,74,-34.42,19.24,63.2,9.95
Kaitangata,92,NZ,1547356863,100,-46.28,169.85,54.56,4.59
Kurchum,48,KZ,1547357489,96,48.57,83.65,13.79,3.91
Hithadhoo,24,MV,1547356705,100,-0.6,73.08,81.47,6.6
Lata,20,IN,1547356942,100,30.78,78.62,37.1,1.72
Mandalgovi,24,MN,1547357292,49,45.76,106.27,18.11,9.62
Ambatofinandrahana,20,MG,1547357490,94,-20.55,46.8,71.21,3.58
Busselton,0,AU,1547356153,80,-33.64,115.35,74.9,17.0
Talnakh,76,RU,1547356741,52,69.49,88.39,-18.25,19.84
Whitehorse,90,CA,1547352000,83,60.72,-135.06,-5.81,3.36
Aksu,0,KZ,1547355600,84,52.04,76.93,-2.21,6.71
Menongue,36,AO,1547357331,22,-14.66,17.68,79.31,8.39
Upernavik,32,GL,1547356858,100,72.79,-56.15,-6.55,8.77
Nemuro,20,JP,1547355600,45,43.32,145.57,26.6,1.12
Tasiilaq,64,GL,1547355000,67,65.61,-37.64,17.6,8.05
Carnarvon,56,ZA,1547356868,86,-30.97,22.13,56.72,7.83
Husavik,92,CA,1547356943,92,50.56,-96.99,18.83,12.68
Butaritari,44,KI,1547356811,100,3.07,172.79,83.63,10.33
Marawi,80,PH,1547356864,69,8.0,124.29,79.22,3.06
Ancud,0,CL,1547355600,100,-41.87,-73.83,42.8,6.93
Isangel,80,VU,1547356874,100,-19.55,169.27,79.94,6.82
Seydi,0,NE,1547355600,25,13.34,7.75,64.4,4.7
Kapit,80,MY,1547357492,80,2.02,112.94,81.65,2.91
Tabou,48,CI,1547357188,100,4.42,-7.36,82.28,6.42
Petropavlovsk-Kamchatskiy,48,RU,1547355600,50,53.05,158.65,28.4,4.47
Dakar,0,SN,1547355600,82,14.69,-17.45,66.2,13.87
Port-Cartier,5,CA,1547355600,65,50.03,-66.88,8.6,5.82
Katsuura,20,JP,1547355600,79,33.93,134.5,50.0,12.75
Aklavik,5,CA,1547355600,65,68.22,-135.01,-34.61,2.24
Nang Rong,0,TH,1547355600,44,14.64,102.79,93.2,6.93
Saskylakh,0,RU,1547356787,0,71.97,114.09,-56.68,4.59
Mar del Plata,0,AR,1547356130,59,-46.43,-67.52,51.86,8.05
Auki,0,NG,1547357494,37,12.18,6.51,60.59,11.12
Vestmannaeyjar,36,IS,1547356787,100,63.44,-20.27,32.24,8.95
Victoria,75,BN,1547355600,66,5.28,115.24,87.8,6.93
Torbay,75,CA,1547354940,92,47.66,-52.73,23.0,16.11
Sao Filipe,8,CV,1547356906,100,14.9,-24.5,70.85,10.07
Alofi,88,NU,1547355600,78,-19.06,-169.92,82.4,13.87
Kahului,90,US,1547355360,76,20.89,-156.47,77.0,4.14
Lorengau,88,PG,1547356923,99,-2.02,147.27,83.45,14.47
Bambous Virieux,40,MU,1547355600,66,-20.34,57.76,84.2,11.41
Mikhaylovsk,92,RU,1547357495,79,56.44,59.12,29.18,11.12
Mehamn,80,NO,1547357285,88,71.03,27.85,29.18,9.78
Jamestown,0,AU,1547356172,24,-33.21,138.6,92.99,6.64
Broken Hill,0,AU,1547355600,13,-31.97,141.45,96.8,5.82
Tazovskiy,88,RU,1547357421,78,67.47,78.7,-3.94,22.08
Lancut,90,PL,1547355600,92,50.07,22.23,28.4,13.87
Saldanha,76,PT,1547356838,81,41.42,-6.55,20.9,3.24
Nicoya,0,CR,1547355600,57,10.15,-85.45,78.8,16.11
Muisne,92,EC,1547356864,87,0.61,-80.02,72.74,3.06
Flinders,48,AU,1547356914,77,-34.58,150.85,75.17,6.31
Swift Current,1,CA,1547355600,73,50.29,-107.8,26.6,12.75
Sibolga,68,ID,1547357317,95,1.74,98.78,74.9,1.72
Cedar City,90,US,1547355180,92,37.68,-113.06,26.96,3.36
Iqaluit,5,CA,1547355600,61,63.75,-68.52,-20.21,14.99
Bonavista,0,CA,1547356824,100,48.65,-53.11,23.6,14.58
Port Alfred,0,ZA,1547356862,84,-33.59,26.89,69.32,8.55
Georgetown,20,GY,1547355600,100,6.8,-58.16,71.6,4.7
Saint George,20,GR,1547353200,74,39.45,22.34,33.8,11.41
San Jose,12,PH,1547357498,60,15.79,120.99,82.73,4.81
Kodiak,90,US,1547355300,95,39.95,-94.76,32.0,13.87
Laureles,40,MX,1547354880,71,20.73,-103.39,55.4,1.61
Kamina,92,CD,1547357499,100,-8.74,25.0,66.62,4.36
Rio Gallegos,0,AR,1547355600,86,-51.62,-69.22,48.2,20.8
Yellowknife,20,CA,1547352000,75,62.45,-114.38,-16.61,10.29
San Lorenzo,0,PY,1547355600,83,-25.34,-57.51,78.8,3.36
Puerto El Triunfo,20,SV,1547355000,83,13.27,-88.55,75.2,6.93
Zhangye,0,CN,1547357500,84,38.94,100.46,27.47,4.74
Bilibino,8,RU,1547356894,46,68.06,166.44,-29.5,2.28
Seybaplaya,5,MX,1547355000,73,19.65,-90.67,69.8,9.17
Spearfish,1,US,1547356500,68,44.49,-103.86,28.4,9.17
Suez,0,EG,1547357501,59,29.97,32.54,42.59,6.31
Kijabe,0,KE,1547355600,52,-0.95,36.6,66.2,6.93
Esperance,20,TT,1547355600,83,10.24,-61.45,73.4,4.92
Bani,0,PH,1547357230,64,15.89,120.27,85.52,2.13
Clyde River,1,CA,1547355600,66,70.47,-68.59,-32.81,5.82
Saint-Philippe,1,CA,1547355600,77,45.36,-73.48,-0.41,3.36
Biltine,0,TD,1547357424,46,14.53,20.93,61.58,4.81
Contai,0,IN,1547357501,89,21.78,87.75,72.92,4.59
San Jeronimito,36,MX,1547357502,96,17.55,-101.33,78.05,4.52
Majene,8,ID,1547357502,93,-3.54,118.97,85.34,12.08
Arraial do Cabo,12,BR,1547356894,93,-22.97,-42.02,75.62,11.18
Denpasar,20,ID,1547355600,79,-8.65,115.22,86.0,11.41
Hailar,64,CN,1547357326,74,49.2,119.7,8.84,8.84
Pacific Grove,1,US,1547355600,79,36.62,-121.92,53.6,8.05
Alta Floresta,88,BR,1547356880,96,-9.87,-56.08,74.18,1.39
Castro,0,CL,1547355600,100,-42.48,-73.76,42.8,6.93
San Patricio,0,PY,1547356890,96,-26.98,-56.83,73.28,3.36
Mildura,0,AU,1547355600,9,-34.18,142.16,98.6,10.29
Mokhsogollokh,8,RU,1547357503,38,61.4,128.95,-25.36,2.84
Cacule,48,BR,1547357503,90,-14.5,-42.22,68.78,8.66
Tecoanapa,40,MX,1547354940,83,16.99,-99.26,78.8,2.57
Aksarka,68,RU,1547357504,81,66.56,67.8,3.53,15.99
Poyarkovo,80,RU,1547357504,72,49.62,128.65,6.5,5.37
Puerto Escondido,0,MX,1547356934,100,15.86,-97.07,80.48,3.85
Yar-Sale,80,RU,1547356965,90,66.83,70.83,3.8,21.41
Shimoda,20,JP,1547355600,53,34.7,138.93,51.8,17.22
Goderich,20,CA,1547356926,87,43.74,-81.71,10.28,10.63
Chuy,64,UY,1547356723,96,-33.69,-53.46,68.87,10.63
Hamilton,90,CA,1547355600,73,43.26,-79.87,21.2,12.75
Cherskiy,32,RU,1547356865,60,68.75,161.3,-20.5,1.5
Bitung,40,ID,1547355600,66,1.44,125.19,86.0,6.93
Prado,100,BR,1547357383,97,-17.34,-39.22,79.22,9.55
Ulaanbaatar,40,MN,1547355600,64,47.92,106.92,1.4,2.24
Tautira,90,PF,1547355600,74,-17.73,-149.15,80.6,14.99
Druzhnaya Gorka,20,RU,1547355600,85,59.28,30.14,23.0,8.95
Derzhavinsk,80,KZ,1547357172,86,51.1,66.31,17.57,15.43
Barabai,88,ID,1547357506,94,-2.59,115.38,78.5,2.62
Mecca,0,SA,1547356931,64,21.43,39.83,71.12,2.57
Mnogovershinnyy,8,RU,1547357273,72,53.94,139.92,0.92,2.13
Kavieng,76,PG,1547356851,100,-2.57,150.8,82.19,11.86
Muli,0,IN,1547356876,53,22.62,71.45,74.99,5.26
Arlit,0,NE,1547357166,58,18.74,7.39,48.35,9.33
Atuona,48,PF,1547356801,100,-9.8,-139.03,81.11,15.7
Creston,90,US,1547356500,92,41.06,-94.36,30.74,12.75
Belmonte,0,PT,1547356899,79,40.36,-7.35,25.85,5.64
Salalah,0,OM,1547355000,31,17.01,54.1,75.2,12.75
Baker City,1,US,1547355180,84,44.77,-117.83,24.98,3.36
Itarema,76,BR,1547356908,97,-2.92,-39.92,72.29,2.39
Vytegra,56,RU,1547357280,81,61.01,36.45,14.42,11.07
Ekhabi,0,RU,1547357508,86,53.51,142.97,9.29,12.91
Margate,0,AU,1547355600,40,-43.03,147.26,71.6,18.34
Guerrero Negro,88,MX,1547356868,100,27.97,-114.04,56.0,4.74
Sao Joao da Barra,68,BR,1547357509,98,-21.64,-41.05,78.68,12.86
Bandarbeyla,0,SO,1547356880,98,9.49,50.81,77.96,18.68
Cayenne,40,GF,1547353800,88,4.94,-52.33,73.4,2.24
Gazanjyk,0,TM,1547357509,64,39.24,55.52,40.7,4.03
New Norfolk,0,AU,1547353800,40,-42.78,147.06,71.6,17.22
Geraldton,5,CA,1547352000,75,49.72,-86.95,-14.81,3.91
Khani,40,GE,1547355600,42,41.96,42.96,46.4,4.7
Marevo,75,BA,1547353800,100,43.57,18.7,19.4,1.12
Inongo,32,CD,1547357510,96,-1.93,18.29,74.18,4.29
Sawakin,0,SD,1547355600,48,19.1,37.33,87.8,9.17
Barrow,92,AR,1547354502,97,-38.31,-60.23,63.65,5.59
Aykhal,20,RU,1547356956,48,65.95,111.51,-30.49,2.84
Port Blair,40,IN,1547352000,74,11.67,92.75,84.2,9.17
Tuatapere,48,NZ,1547356931,87,-46.13,167.69,58.07,5.3
Namibe,0,AO,1547356950,100,-15.19,12.15,72.65,6.38
Richards Bay,0,ZA,1547357511,80,-28.77,32.06,75.8,4.85
Sechura,20,PE,1547357119,89,-5.56,-80.82,71.84,9.62
Rome,20,IT,1547355000,60,41.89,12.48,42.8,8.05
Dikson,64,RU,1547356898,100,73.51,80.55,-12.04,31.43
Provideniya,20,RU,1547356860,100,64.42,-173.23,-8.17,24.76
Champerico,20,MX,1547354460,73,16.38,-93.6,71.6,10.29
Constitucion,0,MX,1547357022,73,23.99,-104.67,40.79,6.26
Fenoarivo,20,MG,1547355600,78,-18.93,47.44,71.6,2.24
Darhan,68,MN,1547357021,61,49.49,105.92,10.1,4.25
Palana,0,RU,1547357342,67,59.08,159.95,2.09,0.22
Grindavik,20,IS,1547355600,100,63.84,-22.43,33.8,13.87
Longyearbyen,20,NO,1547351400,55,78.22,15.63,6.8,13.87
Hun,75,BE,1547356800,100,50.34,4.87,46.4,10.29
Avarua,40,CK,1547355600,78,-21.21,-159.78,80.6,8.05
Dingle,20,PH,1547357034,68,11.0,122.67,84.17,14.43
Kirkwall,92,GB,1547357513,93,58.98,-2.96,48.26,32.55
Hambantota,90,LK,1547352600,88,6.12,81.12,80.6,9.17
Kostek,68,RU,1547357514,91,43.34,46.85,28.82,5.64
Kirakira,92,SB,1547356995,100,-10.46,161.92,79.4,16.33
Vila Velha,75,BR,1547355600,88,-3.71,-38.6,78.8,3.36
Sri Aman,75,MY,1547355600,94,1.24,111.46,78.8,3.36
Ribeira Grande,44,PT,1547356816,98,38.52,-28.7,62.12,20.69
Lagoa,0,PT,1547353800,49,37.14,-8.45,48.2,8.05
Pangnirtung,12,CA,1547356854,60,66.15,-65.72,-33.55,4.03
Fernie,90,CA,1547355600,79,49.5,-115.06,28.4,4.7
Poya,32,NC,1547357515,100,-21.35,165.16,77.87,22.59
Vao,56,EE,1547357052,83,59.1,26.19,14.24,4.14
San Policarpo,92,PH,1547357422,93,12.18,125.51,79.67,15.43
Esfarayen,0,IR,1547355600,55,37.08,57.51,37.4,2.24
Codrington,0,AU,1547355600,45,-28.95,153.24,87.8,12.75
Ostrovnoy,76,RU,1547356670,100,68.05,39.51,18.92,12.3
Lianran,0,CN,1547355600,38,24.92,102.47,59.0,15.66
Chebsara,90,RU,1547355600,85,59.2,38.84,24.8,11.18
Coquimbo,0,CL,1547355600,87,-29.95,-71.34,59.0,4.7
Dudinka,76,RU,1547357516,55,69.41,86.18,-18.88,29.46
Sakata,75,JP,1547355600,69,38.92,139.93,39.2,5.82
Egvekinot,24,RU,1547357517,54,66.32,-179.17,-32.38,5.26
Chato,80,TZ,1547357517,91,-2.64,31.77,72.38,8.43
Lompoc,1,US,1547355480,96,34.64,-120.46,51.98,6.93
Verkhnyaya Inta,88,RU,1547357517,75,65.99,60.32,4.97,2.51
Fortuna,0,ES,1547353800,52,38.18,-1.13,46.4,10.29
Bethel,75,US,1547351760,82,60.79,-161.76,-2.03,19.46
Kewanee,90,US,1547356500,92,41.25,-89.92,30.92,10.29
Caravelas,92,BR,1547356875,100,-17.73,-39.27,79.85,9.44
Puerto Madero,40,AR,1547355600,78,-34.61,-58.36,77.0,11.41
Cidreira,24,BR,1547356861,92,-30.17,-50.22,72.92,10.96
Davila,40,PH,1547355600,62,18.47,120.58,84.2,6.93
Carutapera,92,BR,1547356876,96,-1.2,-46.02,76.79,4.81
Ilhabela,32,BR,1547357519,100,-23.78,-45.36,78.59,11.34
Cockburn Town,100,TC,1547356739,100,21.46,-71.14,74.45,17.16
Borujerd,75,IR,1547355600,49,33.89,48.76,46.4,16.11
Eston,5,CA,1547355600,85,51.15,-108.75,15.8,12.75
Tiarei,90,PF,1547355600,74,-17.53,-149.33,80.6,14.99
Ulladulla,92,AU,1547357520,93,-35.36,150.48,71.93,10.56
Dombarovskiy,92,RU,1547357520,91,50.76,59.54,22.88,15.14
Timizart,8,DZ,1547357306,100,36.8,4.25,31.25,2.73
Deniliquin,0,AU,1547357520,30,-35.53,144.96,99.65,6.87
La Joya,48,MX,1547357521,85,19.61,-97.03,51.23,0.6
Werota,0,ET,1547357521,17,11.92,37.7,63.02,4.07
Darnah,92,LY,1547357521,100,32.77,22.64,56.45,24.87
Quatre Cocos,40,MU,1547355600,66,-20.21,57.76,84.2,11.41
Waddan,44,LY,1547356943,87,29.16,16.14,33.77,8.55
Laguna,0,MX,1547356917,82,27.52,-110.01,52.31,2.01
Khandyga,12,RU,1547357148,98,62.65,135.58,-42.19,2.73
Govlyar,40,AZ,1547355600,51,40.95,45.73,35.6,4.7
Los Llanos de Aridane,0,ES,1547355600,67,28.66,-17.92,59.0,6.93
Voh,76,NC,1547357334,95,-20.95,164.69,80.3,14.32
Bilma,0,NE,1547357248,28,18.69,12.92,47.72,15.21
Khatanga,36,RU,1547356868,56,71.98,102.47,-31.93,3.06
Plouzane,90,FR,1547353800,100,48.38,-4.62,48.2,10.29
Sambava,56,MG,1547357523,100,-14.27,50.17,81.47,8.61
Kloulklubed,75,PW,1547355000,70,7.04,134.26,84.2,11.41
Sestri Levante,40,IT,1547356800,75,44.27,9.41,46.4,5.82
Naze,12,NG,1547352000,100,5.43,7.07,73.4,4.14
Gat,0,SN,1547355600,82,14.69,-16.54,66.2,13.87
Kulhudhuffushi,0,MV,1547357157,100,6.62,73.07,81.92,9.55
Airai,32,TL,1547356940,64,-8.93,125.41,83.09,2.13
Rocha,36,UY,1547357050,96,-34.48,-54.34,62.93,6.38
Svetlogorsk,90,RU,1547355600,92,53.14,59.15,21.2,20.13
Lebu,0,ET,1547352000,45,8.96,38.73,44.6,4.7
Mananjary,8,MG,1547357525,81,-19.16,46.8,73.91,4.41
Vostok,0,RU,1547357165,67,46.45,135.83,18.29,2.57
Zapadnaya Dvina,80,RU,1547357525,92,56.26,32.09,22.25,5.03
Faanui,80,PF,1547356895,100,-16.48,-151.75,83.54,20.62
Point Pleasant,90,US,1547356500,50,40.08,-74.07,33.08,6.42
Padang,20,ID,1547353800,74,-0.92,100.36,86.0,4.7
Buraydah,75,SA,1547355600,67,26.33,43.97,57.2,9.17
Mayo,5,CA,1547355600,75,63.59,-135.9,-20.21,5.82
Wakkanai,75,JP,1547355600,68,45.41,141.67,24.8,13.87
Ligayan,12,PH,1547357526,100,4.65,119.47,83.0,8.88
Mombetsu,75,JP,1547355600,62,44.35,143.35,24.8,13.87
La Rochelle,90,FR,1547355600,93,46.16,-1.15,48.2,12.75
Abnub,92,EG,1547355600,70,27.27,31.15,46.4,17.22
Shu,0,KZ,1547357140,95,43.6,73.76,28.55,4.41
Fairbanks,75,US,1547355180,62,64.84,-147.72,-14.08,6.93
Bathsheba,20,BB,1547355600,73,13.22,-59.52,75.2,8.05
Aldan,0,RU,1547357242,71,58.61,125.39,-7.0,2.73
San Cosme y Damian,0,PY,1547355600,88,-27.32,-56.35,77.0,3.36
Puerto del Rosario,0,ES,1547355600,77,28.5,-13.86,66.2,2.24
Kysyl-Syr,48,RU,1547356944,51,63.9,122.77,-17.44,6.82
San Andres,36,PH,1547357139,94,13.32,122.68,81.38,19.24
Saint Anthony,75,US,1547355360,82,43.97,-111.68,8.06,5.82
Kieta,48,PG,1547357304,99,-6.22,155.63,80.93,3.58
Port Macquarie,0,AU,1547355600,58,-31.43,152.91,84.2,17.22
Walvis Bay,90,NA,1547355600,88,-22.95,14.51,62.6,5.82
College,75,US,1547355180,62,64.86,-147.8,-11.93,6.93
Tuktoyaktuk,5,CA,1547352000,66,69.44,-133.03,-31.01,8.05
Bucak,75,TR,1547355000,100,37.46,30.59,46.4,2.24
Luohe,0,CN,1547357530,66,33.57,114.03,49.97,5.37
Saint-Francois,92,FR,1547353800,93,46.42,3.91,42.8,10.29
Kavaratti,0,IN,1547356905,100,10.57,72.64,81.92,10.85
Ninghai,90,CN,1547355600,62,29.29,121.42,44.6,8.95
Sale,75,GB,1547355000,81,53.42,-2.32,48.2,20.8
Umm Lajj,100,SA,1547356969,97,25.02,37.27,72.29,10.45
Muskogee,90,US,1547356500,99,35.75,-95.37,35.96,12.75
Kabompo,92,ZM,1547357531,100,-13.6,24.21,66.35,5.75
Port Lincoln,0,AU,1547356882,62,-34.72,135.86,75.98,13.58
Griffith,24,AU,1547355600,14,-34.29,146.06,105.8,14.99
Kalawit,24,PH,1547357532,94,7.91,122.53,81.74,6.15
Ust-Nera,12,RU,1547356906,0,64.57,143.24,-46.15,1.72
East London,0,ZA,1547352000,77,-33.02,27.91,68.0,6.93
Trinidad,100,UY,1547357340,93,-33.52,-56.9,64.28,8.1
Lasa,20,CY,1547351400,71,34.92,32.53,55.4,17.22
Djibo,0,BF,1547357533,33,14.1,-1.63,56.45,8.84
Sumenep,36,ID,1547357533,100,-7.02,113.87,82.46,3.4
Lewisporte,90,CA,1547355600,73,49.25,-55.06,19.4,13.87
Normandin,48,CA,1547357533,70,48.84,-72.53,4.43,6.82
Laizhou,0,CN,1547357534,62,37.18,119.93,40.43,12.19
Lima,75,PE,1547355600,88,-12.06,-77.04,71.6,11.41
Shebalino,68,RU,1547357534,75,51.29,85.68,8.75,2.8
Port Hardy,90,CA,1547352000,87,50.7,-127.42,46.4,17.22
Barra do Corda,24,BR,1547357141,98,-5.5,-45.25,69.32,3.51
Kutum,0,SD,1547356954,58,14.2,24.66,52.13,2.01
Taoudenni,0,ML,1547357535,38,22.68,-3.98,41.6,12.46
Yushan,75,CN,1547355600,70,31.68,118.49,42.8,4.47
Comodoro Rivadavia,0,AR,1547355600,27,-45.87,-67.48,64.4,9.17
Ponta do Sol,92,BR,1547356856,99,-20.63,-46.0,63.2,1.05
Mogadishu,0,SO,1547355600,65,2.04,45.34,78.8,13.87
Bela,0,PK,1547357536,42,26.23,66.31,58.52,3.74
Nurota,0,UZ,1547355600,56,40.56,65.69,41.0,16.11
Tomatlan,0,MX,1547356943,91,19.93,-105.25,65.18,2.35
Shirakawa,40,JP,1547355600,45,37.12,140.24,42.8,11.41
Mosquera,40,CO,1547355600,87,4.71,-74.23,53.6,4.7
Hervey Bay,0,AU,1547355600,43,-25.3,152.85,89.6,20.8
Vila,0,IT,1547355000,79,45.18,8.4,33.8,1.12
Collie,0,AU,1547357537,31,-33.36,116.15,87.14,15.32
Nome,1,US,1547356500,69,30.04,-94.42,48.92,9.17
Port Hawkesbury,90,CA,1547355600,84,45.62,-61.36,8.6,8.05
Nelson Bay,0,AU,1547355600,65,-32.72,152.14,80.6,17.22
Nouadhibou,0,MR,1547357309,80,20.93,-17.03,58.88,5.75
Kamaishi,40,JP,1547355600,44,39.28,141.86,39.2,8.05
Elesbao Veloso,64,BR,1547356927,98,-6.2,-42.14,70.13,3.58
Zyrardow,75,PL,1547355600,93,52.05,20.45,35.6,5.82
Wahiawa,75,US,1547355780,78,21.5,-158.02,78.08,4.25
Chitral,0,PK,1547357420,72,35.85,71.79,-0.79,0.49
Pisco,0,PE,1547355600,88,-13.71,-76.2,71.6,10.29
Huron,90,US,1547355300,91,44.36,-98.21,23.0,3.13
Glace Bay,75,CA,1547355600,78,46.2,-59.96,12.2,10.29
Perry,75,US,1547356500,80,30.12,-83.58,62.6,4.7
Emilio Carranza,92,MX,1547357540,98,19.97,-96.61,65.45,1.9
Rosario Oeste,0,BR,1547357540,89,-14.84,-56.43,71.03,2.35
Moron,88,VE,1547357205,97,10.49,-68.2,67.34,3.29
Latung,32,ID,1547357540,99,-8.45,120.42,77.6,3.8
Konevo,0,BG,1547357541,82,41.67,25.61,14.15,2.39
El Vigia,0,MX,1547357541,86,26.85,-109.72,55.28,2.35
Horta,0,ES,1547355600,100,41.43,2.16,39.2,6.93
Miri,0,NG,1547357319,59,10.31,9.75,54.83,3.58
San Cristobal,90,EC,1547355600,100,-0.39,-78.55,55.4,1.12
Tayoltita,0,MX,1547357542,46,24.11,-105.93,57.44,2.62
Omis,0,HR,1547355600,60,43.44,16.69,39.2,3.36
Rongcheng,0,CN,1547357143,56,37.16,122.42,47.45,6.04
Kourou,20,GF,1547355600,94,5.16,-52.64,73.4,10.89
Limbang,75,BN,1547355600,66,4.75,115.01,87.8,6.93
Birobidzhan,48,RU,1547357543,74,48.79,132.93,8.48,3.8
Weligama,80,LK,1547357543,90,5.97,80.42,83.63,4.63
Atambua,32,ID,1547357543,89,-9.11,124.89,85.25,8.77
Sur,0,OM,1547356849,100,22.57,59.53,72.02,3.91
Boyolangu,20,ID,1547356948,100,-8.09,111.9,78.59,3.24
Thinadhoo,8,MV,1547356913,100,0.53,72.93,82.73,10.29
Trincomalee,92,LK,1547357146,99,8.58,81.23,76.43,8.84
Port-Gentil,75,GA,1547355600,94,-0.72,8.78,80.6,2.24
Kaifeng,12,CN,1547355600,65,34.8,114.35,41.0,4.47
Ilulissat,56,GL,1547355000,48,69.22,-51.1,-7.61,3.36
Chor,48,PK,1547357544,91,25.52,69.77,61.4,10.96
Howard Springs,40,AU,1547355600,66,-12.5,131.05,89.6,9.17
Acapulco,40,MX,1547354940,83,16.86,-99.88,78.8,4.29
Marshall,90,US,1547355300,94,39.39,-87.69,35.96,9.17
Llorente,88,PH,1547357545,88,11.41,125.55,79.67,13.69
Kalmunai,92,LK,1547356942,94,7.42,81.82,78.23,8.55
Skelleftea,56,SE,1547355000,92,64.75,20.95,14.0,5.82
Chokurdakh,76,RU,1547356877,70,70.62,147.9,-23.11,8.39
Khingansk,56,RU,1547357545,70,49.12,131.18,10.64,3.13
Sobolevo,80,RU,1547357439,95,54.43,31.9,25.4,7.76
Deputatskiy,48,RU,1547356862,54,69.3,139.9,-32.38,2.8
Shakawe,12,BW,1547357546,44,-18.36,21.84,80.48,10.18
Palmer,0,AU,1547355600,22,-34.85,139.16,91.4,13.87
Tayzhina,48,RU,1547357546,74,53.67,87.44,5.33,3.36
Klaksvik,92,FO,1547355000,93,62.23,-6.59,39.2,14.99
Requena,0,ES,1547355600,86,39.49,-1.1,33.8,3.36
Zheleznodorozhnyy,90,RU,1547355600,92,55.75,38.0,17.6,4.47
Wajima,40,JP,1547355600,65,37.4,136.9,41.0,5.82
Butembo,64,CD,1547357547,86,0.12,29.29,67.7,2.39
Sungaipenuh,92,ID,1547357547,97,-2.08,101.38,69.95,1.01
Jieshi,0,CN,1547357547,79,22.82,115.83,67.7,14.88
Sitka,48,US,1547356859,89,37.17,-99.65,24.5,6.64
Roald,92,NO,1547355000,86,62.58,6.12,41.0,18.34
Tsimlyansk,48,RU,1547357548,94,47.65,42.1,23.6,5.86
